index,PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
3625,2004-10-1,22.0,21.0,18.0,12.0,11.0,10.0,50.0,50.0,50.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,8.0,,-1.0
3634,2004-10-10,9.0,,9.0,8.0,8.0,8.0,88.0,88.0,88.0,,,,4.0,4.0,4.0,17.0,17.0,,15.0,8.0,Rain-Thunderstorm,-1.0
3635,2004-10-11,14.0,13.0,13.0,10.0,8.0,5.0,81.0,66.0,50.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3636,2004-10-12,17.0,,14.0,8.0,8.0,8.0,57.0,57.0,57.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3637,2004-10-13,18.0,17.0,16.0,8.0,8.0,7.0,52.0,46.0,40.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3638,2004-10-14,18.0,,18.0,9.0,9.0,9.0,48.0,48.0,48.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3639,2004-10-15,18.0,,15.0,10.0,10.0,10.0,63.0,63.0,63.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3640,2004-10-16,15.0,12.0,12.0,7.0,7.0,7.0,56.0,56.0,56.0,,,,10.0,10.0,10.0,6.0,2.0,,0.0,8.0,,-1.0
3641,2004-10-17,14.0,12.0,9.0,6.0,6.0,5.0,66.0,62.0,58.0,,,,10.0,10.0,10.0,24.0,12.0,,0.0,8.0,,-1.0
3642,2004-10-18,13.0,,13.0,5.0,5.0,5.0,50.0,50.0,50.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3643,2004-10-19,18.0,16.0,16.0,6.0,5.0,4.0,39.0,36.0,34.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3626,2004-10-2,14.0,14.0,13.0,10.0,8.0,6.0,68.0,59.0,50.0,,,,10.0,10.0,10.0,13.0,11.0,,2.0,8.0,,-1.0
3644,2004-10-20,18.0,18.0,16.0,7.0,6.0,5.0,47.0,39.0,31.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3645,2004-10-21,18.0,17.0,15.0,6.0,6.0,5.0,42.0,37.0,32.0,,,,10.0,10.0,10.0,6.0,2.0,,0.0,,,-1.0
3646,2004-10-22,17.0,17.0,14.0,8.0,6.0,5.0,57.0,44.0,32.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
3647,2004-10-23,12.0,9.0,9.0,8.0,8.0,7.0,84.0,80.0,76.0,,,,10.0,7.0,4.0,6.0,6.0,,9.0,8.0,,-1.0
3648,2004-10-24,14.0,13.0,9.0,4.0,4.0,4.0,62.0,51.0,40.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
3649,2004-10-25,12.0,,9.0,7.0,7.0,7.0,76.0,76.0,76.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3650,2004-10-26,16.0,,13.0,5.0,5.0,5.0,45.0,45.0,45.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3651,2004-10-27,16.0,,13.0,8.0,8.0,8.0,62.0,62.0,62.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3652,2004-10-28,16.0,,13.0,8.0,8.0,8.0,62.0,62.0,62.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3653,2004-10-29,,,,,,,,,,,,,,,,,,,,,,
3627,2004-10-3,20.0,,17.0,9.0,9.0,9.0,49.0,49.0,49.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3654,2004-10-30,,,,,,,,,,,,,,,,,,,,,,
3655,2004-10-31,,,,,,,,,,,,,,,,,,,,,,
3628,2004-10-4,22.0,21.0,17.0,11.0,11.0,11.0,58.0,50.0,42.0,,,,10.0,10.0,10.0,4.0,2.0,,0.0,,,-1.0
3629,2004-10-5,22.0,,18.0,10.0,10.0,10.0,48.0,48.0,48.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
3630,2004-10-6,22.0,22.0,19.0,11.0,11.0,11.0,49.0,44.0,39.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3631,2004-10-7,22.0,,22.0,11.0,11.0,11.0,39.0,39.0,39.0,,,,10.0,10.0,10.0,4.0,4.0,,0.0,,,-1.0
3632,2004-10-8,21.0,21.0,16.0,11.0,10.0,10.0,53.0,48.0,42.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
3633,2004-10-9,18.0,18.0,16.0,8.0,7.0,6.0,39.0,39.0,39.0,,,,10.0,10.0,10.0,35.0,35.0,,0.0,,,-1.0
2222,2004-11-1,16.0,16.0,13.0,8.0,7.0,6.0,62.0,52.0,43.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2231,2004-11-10,18.0,17.0,13.0,6.0,6.0,5.0,55.0,44.0,32.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2232,2004-11-11,16.0,15.0,11.0,4.0,3.0,2.0,51.0,40.0,29.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2233,2004-11-12,16.0,,16.0,4.0,4.0,4.0,34.0,34.0,34.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2234,2004-11-13,17.0,17.0,14.0,5.0,3.0,1.0,46.0,35.0,24.0,,,,10.0,10.0,10.0,6.0,2.0,,0.0,,,-1.0
2235,2004-11-14,17.0,14.0,14.0,2.0,-2.0,-5.0,32.0,24.0,16.0,,,,10.0,10.0,10.0,13.0,9.0,,0.0,,,-1.0
2236,2004-11-15,17.0,,13.0,2.0,2.0,2.0,35.0,35.0,35.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2237,2004-11-16,17.0,16.0,14.0,1.0,0.0,-2.0,31.0,24.0,18.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2238,2004-11-17,18.0,,18.0,2.0,2.0,2.0,24.0,24.0,24.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2239,2004-11-18,18.0,,18.0,0.0,0.0,0.0,18.0,18.0,18.0,,,,10.0,10.0,10.0,4.0,4.0,,0.0,,,-1.0
2240,2004-11-19,18.0,,18.0,1.0,1.0,1.0,20.0,20.0,20.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2223,2004-11-2,16.0,,13.0,8.0,8.0,8.0,62.0,62.0,62.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2241,2004-11-20,16.0,,16.0,-6.0,-6.0,-6.0,12.0,12.0,12.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2242,2004-11-21,18.0,17.0,14.0,6.0,4.0,3.0,50.0,40.0,29.0,,,,10.0,10.0,10.0,4.0,2.0,,0.0,,,-1.0
2243,2004-11-22,12.0,,12.0,3.0,3.0,3.0,41.0,41.0,41.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2244,2004-11-23,16.0,,16.0,4.0,4.0,4.0,34.0,34.0,34.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
2245,2004-11-24,17.0,17.0,12.0,2.0,2.0,1.0,36.0,30.0,24.0,,,,10.0,10.0,10.0,4.0,4.0,,0.0,,,-1.0
2246,2004-11-25,14.0,13.0,11.0,1.0,0.0,0.0,34.0,32.0,31.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2247,2004-11-26,13.0,13.0,10.0,3.0,2.0,2.0,44.0,42.0,39.0,,,,10.0,10.0,10.0,4.0,2.0,,0.0,,,-1.0
2248,2004-11-27,15.0,15.0,10.0,4.0,3.0,2.0,44.0,40.0,37.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
2249,2004-11-28,16.0,15.0,10.0,4.0,3.0,2.0,56.0,42.0,29.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
2250,2004-11-29,,,,,,,,,,,,,,,,,,,,,,
2224,2004-11-3,17.0,16.0,13.0,6.0,5.0,4.0,50.0,40.0,31.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2251,2004-11-30,,,,,,,,,,,,,,,,,,,,,,
2225,2004-11-4,18.0,17.0,14.0,6.0,6.0,6.0,46.0,42.0,39.0,,,,10.0,10.0,10.0,6.0,4.0,,0.0,,,-1.0
2226,2004-11-5,17.0,16.0,13.0,8.0,8.0,8.0,62.0,55.0,48.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2227,2004-11-6,16.0,16.0,13.0,10.0,8.0,7.0,74.0,60.0,47.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2228,2004-11-7,18.0,,13.0,8.0,8.0,8.0,62.0,62.0,62.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
2229,2004-11-8,18.0,17.0,14.0,7.0,6.0,4.0,51.0,41.0,31.0,,,,10.0,10.0,10.0,4.0,2.0,,0.0,,,-1.0
2230,2004-11-9,18.0,18.0,14.0,5.0,5.0,5.0,41.0,36.0,31.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
123,2004-12-1,12.0,,12.0,-2.0,-2.0,-2.0,26.0,26.0,26.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
132,2004-12-10,17.0,,12.0,-1.0,-1.0,-1.0,30.0,30.0,30.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
133,2004-12-11,17.0,17.0,13.0,3.0,2.0,1.0,39.0,32.0,24.0,,,,10.0,10.0,10.0,4.0,2.0,,0.0,,,-1.0
134,2004-12-12,17.0,,17.0,4.0,4.0,4.0,31.0,31.0,31.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
135,2004-12-13,18.0,17.0,14.0,5.0,4.0,4.0,43.0,37.0,31.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
136,2004-12-14,18.0,,14.0,2.0,2.0,2.0,32.0,32.0,32.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
137,2004-12-15,16.0,,12.0,5.0,5.0,5.0,51.0,51.0,51.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
138,2004-12-16,8.0,7.0,3.0,3.0,2.0,0.0,100.0,74.0,49.0,,,,10.0,5.1,0.2,30.0,19.0,,8.0,8.0,Rain,-1.0
139,2004-12-17,2.0,0.0,0.0,1.0,1.0,1.0,100.0,96.0,92.0,,,,0.5,0.3,0.5,9.0,9.0,,3.0,8.0,Snow,-1.0
140,2004-12-18,7.0,,4.0,2.0,2.0,2.0,81.0,81.0,81.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
141,2004-12-19,6.0,,3.0,2.0,2.0,2.0,91.0,91.0,91.0,,,,4.0,4.0,4.0,6.0,6.0,,1.0,8.0,Rain,-1.0
124,2004-12-2,13.0,,13.0,-2.0,-2.0,-2.0,22.0,22.0,22.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,,,-1.0
142,2004-12-20,3.0,,3.0,1.0,1.0,1.0,77.0,77.0,77.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
143,2004-12-21,12.0,,8.0,-1.0,-1.0,-1.0,41.0,41.0,41.0,,,,10.0,10.0,10.0,6.0,6.0,,0.0,8.0,,-1.0
144,2004-12-22,11.0,10.0,8.0,0.0,-1.0,-1.0,40.0,38.0,34.0,,,,10.0,10.0,10.0,13.0,10.0,,0.0,,,-1.0
145,2004-12-23,,,,,,,,,,,,,,,,,,,,,,
146,2004-12-24,,,,,,,,,,,,,,,,,,,,,,
147,2004-12-25,,,,,,,,,,,,,,,,,,,,,,
148,2004-12-26,,,,,,,,,,,,,,,,,,,,,,
149,2004-12-27,,,,,,,,,,,,,,,,,,,,,,
150,2004-12-28,,,,,,,,,,,,,,,,,,,,,,
151,2004-12-29,,,,,,,,,,,,,,,,,,,,,,
125,2004-12-3,17.0,,13.0,-10.0,-10.0,-10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
152,2004-12-30,,,,,,,,,,,,,,,,,,,,,,
153,2004-12-31,,,,,,,,,,,,,,,,,,,,,,
126,2004-12-4,17.0,,11.0,-3.0,-3.0,-3.0,25.0,25.0,25.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
127,2004-12-5,16.0,15.0,12.0,6.0,4.0,3.0,42.0,42.0,41.0,,,,10.0,10.0,10.0,0.0,0.0,,0.0,,,-1.0
